customer_acct_id,txn_timestamp_weekday,TXN_AMOUNT_AVG,TXN_AMOUNT_COUNT,TXN_AMOUNT_FIRST,TXN_AMOUNT_KURTOSIS,TXN_AMOUNT_LAST,TXN_AMOUNT_MAX,TXN_AMOUNT_MIN,TXN_AMOUNT_SKEWNESS,TXN_AMOUNT_STDDEV_POP,TXN_AMOUNT_STDDEV_SAMP,TXN_AMOUNT_STDDEV,TXN_AMOUNT_SUM,TXN_AMOUNT_VAR_POP,TXN_AMOUNT_VAR_SAMP,TXN_AMOUNT_VARIANCE
6018,4,284.2425,4,487.75,-1.2310315741725373,59.52,487.75,59.52,-0.17571950004623477,156.91652850719709,181.19159994786366,181.19159994786366,1136.97,24622.79691875,32830.39589166667,32830.39589166667
6149,4,535.584,5,357.95,0.08715025585104907,1.45,1853.52,1.45,1.369314001725549,670.6516637003147,749.8113546286158,749.8113546286158,2677.9199999999996,449773.65402399993,562217.0675299999,562217.0675299999
2710,6,125.47,2,149.8,-1.9999999999999993,101.14,149.8,101.14,0.0,24.330000000000005,34.407815972537406,34.407815972537406,250.94,591.9489000000002,1183.8978000000004,1183.8978000000004
6191,3,557.495,4,1644.94,-0.7532722630281845,8.5,1644.94,8.5,1.0287350882124828,639.4630966873694,738.3883820185689,738.3883820185689,2229.98,408913.05202500004,545217.4027000001,545217.4027000001
5847,3,745.4071428571427,7,102.0,2.0563600288634323,4.95,4114.08,4.95,1.9933247148434383,1383.3242229676234,1494.1609318132844,1494.1609318132844,5217.849999999999,1913585.9058489793,2232516.890157142,2232516.890157142
4270,3,154.20749999999998,4,322.8,-1.9111382792651137,15.0,322.8,15.0,0.06699479393857222,140.35244447016234,162.06504319254046,162.06504319254046,616.8299999999999,19698.80866875,26265.078225,26265.078225
2721,3,826.9200000000001,2,713.88,-2.0000000000000004,939.96,939.96,713.88,0.0,113.04000000000002,159.8627010906547,159.8627010906547,1653.8400000000001,12778.041600000004,25556.08320000001,25556.08320000001
4963,4,115.99666666666667,3,106.77,-1.5,135.34,135.34,105.88,0.7048636243327866,13.682627265583502,16.757727570686114,16.757727570686114,347.99,187.21428888888906,280.8214333333336,280.8214333333336
6236,6,547.2866666666667,3,106.4,-1.4999999999999993,298.73,1236.73,106.4,0.6275048141695696,493.79266204439375,604.7700303696714,604.7700303696714,1641.8600000000001,243831.19308888886,365746.7896333333,365746.7896333333
5975,5,356.61833333333334,6,46.85,0.5569051985077449,420.12,508.8,46.85,-1.3607560835889831,146.33245019665173,160.29916773541487,160.29916773541487,2139.71,21413.185980555558,25695.82317666667,25695.82317666667
5922,5,682.4300000000001,5,556.5,-0.30658390735914276,1855.99,1855.99,143.46,1.080417546710203,624.9097338336154,698.6703223266321,698.6703223266321,3412.15,390512.17544,488140.2193,488140.2193
1111,3,183.93833333333336,6,547.56,-1.1873431837214525,80.0,547.56,8.5,0.7875016505182595,212.4265448271995,232.70162082947905,232.70162082947905,1103.63,45125.0369472222,54150.044336666644,54150.044336666644
5879,3,269.0,2,203.1,-2.0000000000000004,334.9,334.9,203.1,0.0,65.89999999999999,93.19667376038694,93.19667376038694,538.0,4342.809999999999,8685.619999999997,8685.619999999997
2921,4,583.45,1,583.45,NaN,583.45,583.45,583.45,NaN,0.0,NaN,NaN,583.45,0.0,NaN,NaN
