counterparty_acct_id,open_dt_weekday,TXN_AMOUNT_AVG,TXN_AMOUNT_COUNT,TXN_AMOUNT_FIRST,TXN_AMOUNT_KURTOSIS,TXN_AMOUNT_LAST,TXN_AMOUNT_MAX,TXN_AMOUNT_MIN,TXN_AMOUNT_SKEWNESS,TXN_AMOUNT_STDDEV_POP,TXN_AMOUNT_STDDEV_SAMP,TXN_AMOUNT_STDDEV,TXN_AMOUNT_SUM,TXN_AMOUNT_VAR_POP,TXN_AMOUNT_VAR_SAMP,TXN_AMOUNT_VARIANCE
6018,4,455.46333333333337,6,487.75,0.4404112738858368,297.73,1292.31,99.59,1.3489536422806974,397.57364758690375,435.52011010591303,435.52011010591303,2732.78,158064.80525555552,189677.76630666663,189677.76630666663
2302,7,379.76454545454544,11,322.2,-1.579825156441639,96.96,773.94,4.95,-0.05195422492978159,293.63727798900703,307.9693753074691,307.9693753074691,4177.41,86222.8510247934,94845.13612727275,94845.13612727275
6191,3,209.66,3,127.98,-1.4999999999999993,389.84,389.84,111.16,0.6979016374701894,127.59141141419616,156.266926763151,156.266926763151,628.98,16279.568266666667,24419.3524,24419.3524
5767,4,526.885,2,540.0,-1.9999999999999971,513.77,540.0,513.77,4.0317657265646755E-16,13.115000000000009,18.547410870523155,18.547410870523155,1053.77,172.00322500000024,344.0064500000005,344.0064500000005
6331,5,319.18,1,319.18,NaN,319.18,319.18,319.18,NaN,0.0,NaN,NaN,319.18,0.0,NaN,NaN
4829,3,574.6033333333334,3,287.08,-1.5000000000000002,113.91,1322.82,113.91,0.6516976271800935,533.7715475327957,653.7339653355433,653.7339653355433,1723.81,284912.0649555556,427368.0974333334,427368.0974333334
5870,3,445.7225000000001,4,403.25,-0.7337461295174155,569.82,569.82,388.64,1.0687398955564145,72.56867243342683,83.7950851283455,83.7950851283455,1782.8900000000003,5266.212218750003,7021.61629166667,7021.61629166667
4110,6,1210.888888888889,9,302.4,-0.45521733210667215,976.8,3694.36,149.46,0.9503171293049906,1183.4640368797247,1255.2531686520897,1255.2531686520897,10898.0,1400587.1265876545,1575660.5174111114,1575660.5174111114
2721,3,229.56,1,229.56,NaN,229.56,229.56,229.56,NaN,0.0,NaN,NaN,229.56,0.0,NaN,NaN
4416,5,67.88000000000001,3,142.24,-1.5,15.9,142.24,15.9,0.5508489515154245,53.951195229268706,66.07644966249322,66.07644966249322,203.64000000000001,2910.7314666666666,4366.0972,4366.0972
5768,2,228.34333333333333,3,362.0,-1.4999999999999964,208.43,362.0,114.6,0.28546199622515456,101.97743421408919,124.8963395513789,124.8963395513789,685.03,10399.397088888889,15599.095633333334,15599.095633333334
5961,1,2725.9975,4,7722.04,-1.004910274955111,20.3,7722.04,20.3,0.8040783356764335,3065.578337397162,3539.824956636274,3539.824956636274,10903.99,9397770.54271875,1.2530360723624999E7,1.2530360723624999E7
