counterparty_acct_id,acct_stat_dt_quarter,TXN_AMOUNT_AVG,TXN_AMOUNT_COUNT,TXN_AMOUNT_FIRST,TXN_AMOUNT_KURTOSIS,TXN_AMOUNT_LAST,TXN_AMOUNT_MAX,TXN_AMOUNT_MIN,TXN_AMOUNT_SKEWNESS,TXN_AMOUNT_STDDEV_POP,TXN_AMOUNT_STDDEV_SAMP,TXN_AMOUNT_STDDEV,TXN_AMOUNT_SUM,TXN_AMOUNT_VAR_POP,TXN_AMOUNT_VAR_SAMP,TXN_AMOUNT_VARIANCE
1504,1,338.088,5,841.94,-0.2980107943151138,18.75,841.94,18.75,0.9186992094144243,273.0226840685587,305.24864048837304,305.24864048837304,1690.44,74541.38601600002,93176.73252000002,93176.73252000002
6097,1,153.30999999999997,3,149.8,-1.5000000000000009,175.04,175.04,135.09,0.30951211575385873,16.497286645587106,20.20496721105976,20.20496721105976,459.92999999999995,272.16046666666665,408.2407,408.2407
5847,3,251.67230769230767,13,274.67,-0.7147387312424556,12.9,522.98,12.9,-0.032087008238085385,138.8571905095772,144.5271461325891,144.5271461325891,3271.74,19281.31935621302,20888.09596923077,20888.09596923077
6191,3,553.7442857142856,7,127.98,-0.5026395744080565,389.84,1612.83,65.7,1.027696668270427,536.8868122494227,579.9040357638822,579.9040357638822,3876.2099999999996,288247.4491673469,336288.690695238,336288.690695238
5484,4,611.51,1,611.51,NaN,611.51,611.51,611.51,NaN,0.0,NaN,NaN,611.51,0.0,NaN,NaN
6149,4,227.12444444444446,9,511.8,-0.888215785469094,40.4,511.8,1.45,0.2124245781034567,155.55867554013977,164.99489152024614,164.99489152024614,2044.1200000000001,24198.50153580248,27223.314227777788,27223.314227777788
4270,3,256.7,4,322.8,-1.9175223936771348,349.02,349.02,167.59,0.017103725962570034,80.05726169436474,92.4421631796516,92.4421631796516,1026.8,6409.165150000001,8545.553533333334,8545.553533333334
4829,3,287.08,1,287.08,NaN,287.08,287.08,287.08,NaN,0.0,NaN,NaN,287.08,0.0,NaN,NaN
5656,2,515.9957142857144,7,158.0,1.978791940360253,8.3,2626.3,8.3,1.9562987954840023,870.3636475447187,940.1001855096287,940.1001855096287,3611.9700000000003,757532.8789673472,883788.3587952383,883788.3587952383
2566,1,462.3,1,462.3,NaN,462.3,462.3,462.3,NaN,0.0,NaN,NaN,462.3,0.0,NaN,NaN
4963,4,105.88,1,105.88,NaN,105.88,105.88,105.88,NaN,0.0,NaN,NaN,105.88,0.0,NaN,NaN
6037,1,561.32,4,135.44,-0.7165920288984133,1463.64,1463.64,135.44,1.0792017893109211,526.5788494138367,608.0408809172841,608.0408809172841,2245.28,277285.2846500001,369713.7128666668,369713.7128666668
5787,3,84.29666666666667,3,215.01,-1.5000000000000004,3.75,215.01,3.75,0.651242294364087,93.2566985380794,114.21566325742425,114.21566325742425,252.89,8696.81182222222,13045.217733333331,13045.217733333331
1307,4,301.61333333333334,3,286.6,-1.4999999999999993,27.15,591.09,27.15,0.09743602463133841,230.47216901155093,282.2696069953925,282.2696069953925,904.84,53117.420688888895,79676.13103333334,79676.13103333334
1951,3,162.7,1,162.7,NaN,162.7,162.7,162.7,NaN,0.0,NaN,NaN,162.7,0.0,NaN,NaN
1114,4,334.93,1,334.93,NaN,334.93,334.93,334.93,NaN,0.0,NaN,NaN,334.93,0.0,NaN,NaN
6340,3,252.69999999999996,5,148.35,-1.3221900721935875,48.61,444.96,48.61,-0.11484695942601703,140.9274264293505,157.56165269506408,157.56165269506408,1263.4999999999998,19860.53952,24825.674399999996,24825.674399999996
3272,3,250.0,1,250.0,NaN,250.0,250.0,250.0,NaN,0.0,NaN,NaN,250.0,0.0,NaN,NaN
1000,4,77183.6,1,77183.6,NaN,77183.6,77183.6,77183.6,NaN,0.0,NaN,NaN,77183.6,0.0,NaN,NaN
5961,1,1654.0042857142853,7,7722.04,1.1181117588336011,604.3,7722.04,20.3,1.6420411770370724,2630.5850982072793,2841.3566510961923,2841.3566510961923,11578.029999999997,6919977.958910202,8073307.618728568,8073307.618728568
5645,3,739.65,2,174.6,-2.000000000000001,1304.7,1304.7,174.6,0.0,565.0500000000001,799.1013734189174,799.1013734189174,1479.3,319281.50250000006,638563.0050000001,638563.0050000001
3535,1,242.42,1,242.42,NaN,242.42,242.42,242.42,NaN,0.0,NaN,NaN,242.42,0.0,NaN,NaN
5273,3,312.9,1,312.9,NaN,312.9,312.9,312.9,NaN,0.0,NaN,NaN,312.9,0.0,NaN,NaN
5767,4,400.53499999999997,8,334.05,0.24552453648614359,20.95,852.84,20.95,0.44261993423582724,221.9696622288731,237.29555037667993,237.29555037667993,3204.2799999999997,49270.53095000001,56309.178228571436,56309.178228571436
6198,2,135.62,5,119.76,-1.676094332105985,203.38,226.5,56.16,0.18843516237410335,68.44771084557905,76.52686717748219,76.52686717748219,678.1,4685.08912,5856.3614,5856.3614
4383,2,54.35,5,187.65,-0.01080549262146846,1.65,187.65,1.65,1.3153387284658349,68.44835279245221,76.52758489590535,76.52758489590535,271.75,4685.177000000001,5856.4712500000005,5856.4712500000005
6744,1,50.15,1,50.15,NaN,50.15,50.15,50.15,NaN,0.0,NaN,NaN,50.15,0.0,NaN,NaN
5157,4,638.4200000000001,2,853.48,-2.000000000000001,423.36,853.48,423.36,0.0,215.06,304.1407687239578,304.1407687239578,1276.8400000000001,46250.8036,92501.6072,92501.6072
4174,2,572.8,1,572.8,NaN,572.8,572.8,572.8,NaN,0.0,NaN,NaN,572.8,0.0,NaN,NaN
2979,2,208.76999999999998,2,410.7,-2.0000000000000004,6.84,410.7,6.84,0.0,201.93,285.5721446499991,285.5721446499991,417.53999999999996,40775.7249,81551.4498,81551.4498
