counterparty_id,acct_last_updated_ts_weekday,TXN_AMOUNT_AVG,TXN_AMOUNT_COUNT,TXN_AMOUNT_FIRST,TXN_AMOUNT_KURTOSIS,TXN_AMOUNT_LAST,TXN_AMOUNT_MAX,TXN_AMOUNT_MIN,TXN_AMOUNT_SKEWNESS,TXN_AMOUNT_STDDEV_POP,TXN_AMOUNT_STDDEV_SAMP,TXN_AMOUNT_STDDEV,TXN_AMOUNT_SUM,TXN_AMOUNT_VAR_POP,TXN_AMOUNT_VAR_SAMP,TXN_AMOUNT_VARIANCE
70185,1,354.985,4,4.95,-1.2453702909534436,907.0,907.0,4.95,0.5758196924468634,356.7905198081922,411.98620531113255,411.98620531113255,1419.94,127299.47502499999,169732.63336666665,169732.63336666665
70085,5,296.71666666666664,3,377.5,-1.5000000000000004,203.1,377.5,203.1,-0.2624850166171385,71.77446543784835,87.90540844187763,87.90540844187763,890.15,5151.573888888887,7727.360833333331,7727.360833333331
14932,7,363.53,1,363.53,NaN,363.53,363.53,363.53,NaN,0.0,NaN,NaN,363.53,0.0,NaN,NaN
17576,2,93.93333333333334,3,119.65,-1.500000000000001,147.15,147.15,15.0,-0.5853943429869868,56.93221603119119,69.72743960115942,69.72743960115942,281.8,3241.277222222223,4861.915833333334,4861.915833333334
70064,5,360.18666666666667,6,324.0,0.6788328019648344,53.1,1212.67,41.1,1.480786849874423,396.8938806812499,434.77546276976886,434.77546276976886,2161.12,157524.75252222223,189029.70302666668,189029.70302666668
13304,7,300.42,1,300.42,NaN,300.42,300.42,300.42,NaN,0.0,NaN,NaN,300.42,0.0,NaN,NaN
17585,5,417.81,1,417.81,NaN,417.81,417.81,417.81,NaN,0.0,NaN,NaN,417.81,0.0,NaN,NaN
15687,3,251.13333333333333,3,353.5,-1.5000000000000013,30.0,369.9,30.0,-0.701288045925529,156.50815385219462,191.68255876144113,191.68255876144113,753.4,24494.80222222222,36742.20333333333,36742.20333333333
12417,3,171.695,2,323.44,-2.0000000000000027,19.95,323.44,19.95,-5.330733309657114E-16,151.745,214.5998370223053,214.5998370223053,343.39,23026.545025000003,46053.090050000006,46053.090050000006
70044,2,281.198,5,459.84,-0.8656282139254139,326.22,459.84,66.14,-0.37320810060397447,131.39414270050247,146.90311746181564,146.90311746181564,1405.99,17264.420736000007,21580.525920000007,21580.525920000007
69336,4,269.3,1,269.3,NaN,269.3,269.3,269.3,NaN,0.0,NaN,NaN,269.3,0.0,NaN,NaN
14180,4,152.135,2,143.92,-2.000000000000001,160.35,160.35,143.92,0.0,8.215000000000003,11.617764414894982,11.617764414894982,304.27,67.48622500000006,134.97245000000012,134.97245000000012
14386,7,142.4,1,142.4,NaN,142.4,142.4,142.4,NaN,0.0,NaN,NaN,142.4,0.0,NaN,NaN
17323,6,145.29333333333332,3,141.69,-1.5,158.82,158.82,135.37,0.49747086226757103,9.906685733494433,12.13316254458553,12.13316254458553,435.88,98.14242222222212,147.21363333333318,147.21363333333318
