customer_country,acct_last_updated_ts_dayOfMonth,TXN_AMOUNT_AVG,TXN_AMOUNT_COUNT,TXN_AMOUNT_FIRST,TXN_AMOUNT_KURTOSIS,TXN_AMOUNT_LAST,TXN_AMOUNT_MAX,TXN_AMOUNT_MIN,TXN_AMOUNT_SKEWNESS,TXN_AMOUNT_STDDEV_POP,TXN_AMOUNT_STDDEV_SAMP,TXN_AMOUNT_STDDEV,TXN_AMOUNT_SUM,TXN_AMOUNT_VAR_POP,TXN_AMOUNT_VAR_SAMP,TXN_AMOUNT_VARIANCE
AUT,6,265.83983333333333,120,139.12,9.351594860888053,51.0,1920.48,1.0,2.691126914631939,317.3376493867463,318.66821140433166,318.66821140433166,31900.780000000002,100703.18371830552,101549.42895963581,101549.42895963581
MEX,3,291.40552631578936,114,278.73,26.26188881098006,17.85,3155.95,1.65,4.453305603745132,389.86204644695886,391.58330005450813,391.58330005450813,33220.22999999999,151992.4152598107,153337.48088157893,153337.48088157893
ESP,18,262.4425675675675,74,194.85,1.0561561046612091,4.5,987.42,1.44,1.3067748385041704,240.40913163425662,242.0501686482213,242.0501686482213,19420.749999999996,57796.550573137334,58588.28414263237,58588.28414263237
NLD,16,364.5098305084747,59,351.43,3.9717652791860933,83.16,1622.48,2.1,1.7774549865165572,317.2195317981044,319.94249617754065,319.94249617754065,21506.080000000005,100628.23135420856,102363.20086031561,102363.20086031561
FIN,13,229.2571428571429,63,473.39,1.956784772333176,7.5,971.13,1.25,1.4509008882857044,213.8430364456163,215.56067878927308,215.56067878927308,14443.200000000003,45728.84423628118,46466.40624009216,46466.40624009216
BRA,1,311.66982905982906,117,358.82,8.831283927174523,25.68,2079.37,1.65,2.4916679074251253,313.093411884988,314.4400564303179,314.4400564303179,36465.37,98027.48456578271,98872.54908790151,98872.54908790151
IND,26,362.96397058823527,68,1822.88,13.674752200706298,4.95,3091.98,0.65,3.3466295816171177,486.77564316313277,490.3948427577539,490.3948427577539,24681.55,236950.52677688157,240487.10180340218,240487.10180340218
AUT,15,202.42555555555555,9,206.2,-1.0871543022566512,17.85,452.89,15.9,0.10991172412858129,143.01019078770506,151.68521352715226,151.68521352715226,1821.83,20451.914669135804,23008.404002777777,23008.404002777777
SWE,10,348.5451764705882,85,311.81,67.62932239956017,10.2,7837.5,1.25,8.02393037440304,850.8506813849325,855.90028465661,855.90028465661,29626.339999999997,723946.8820132039,732565.2972752659,732565.2972752659
DNK,14,244.2997368421053,38,326.4,4.1128164963442755,2.08,1223.24,2.08,1.721122926020426,249.44008537529808,252.7884242612177,252.7884242612177,9283.390000000001,62220.35619203599,63901.9874404694,63901.9874404694
NOR,1,355.2208620689655,58,191.06,42.19859472974871,35.0,5490.24,1.95,6.306298971524333,717.7510762198648,724.0197635915566,724.0197635915566,20602.81,515166.6074147741,524204.6180711736,524204.6180711736
